,date,covid_region,age,positive_specs,total_specs,tpr,moving_ave_frac,moving_ave_test,moving_ave_pos
0,2020-02-27,11.0,130.0,0.0,6.0,0.0,,,
4,2020-02-28,11.0,28.0,0.0,1.0,0.0,,,
9,2020-02-29,11.0,167.0,0.0,7.0,0.0,,,
15,2020-03-03,11.0,179.0,0.0,6.0,0.0,0.005714285714285714,103.0,2.0
24,2020-03-04,11.0,305.0,0.0,11.0,0.0,0.005714285714285714,130.0,2.0
33,2020-03-05,11.0,762.0,0.0,22.0,0.0,0.005714285714285714,163.0,2.0
42,2020-03-06,11.0,1634.0,2.0,50.0,0.04,0.03932773109243697,190.0,10.0
47,2020-03-07,11.0,727.0,0.0,33.0,0.0,0.063717974994876,225.0,17.0
52,2020-03-08,11.0,635.0,0.0,34.0,0.0,0.08052469768395164,248.0,21.0
56,2020-03-09,11.0,734.0,8.0,34.0,0.23529411764705882,0.09756270554764757,335.0,34.0
65,2020-03-10,11.0,797.0,7.0,41.0,0.17073170731707318,0.10409331779254552,425.0,44.0
72,2020-03-11,11.0,844.0,4.0,34.0,0.11764705882352941,0.12195046064968838,440.0,50.0
83,2020-03-12,11.0,2448.0,13.0,109.0,0.11926605504587157,0.13293947163869937,458.0,54.0
93,2020-03-13,11.0,2802.0,12.0,140.0,0.08571428571428572,0.10884983578435763,439.0,47.0
104,2020-03-14,11.0,1009.0,6.0,48.0,0.125,0.09311760053992725,530.0,48.0
114,2020-03-15,11.0,1757.0,4.0,52.0,0.07692307692307693,0.09092126746124123,760.0,71.0
123,2020-03-16,11.0,527.0,1.0,15.0,0.06666666666666667,0.08266735576028224,960.0,77.0
134,2020-03-17,11.0,3932.0,8.0,132.0,0.06060606060606061,0.07955314070009037,1571.0,113.0
145,2020-03-18,11.0,7326.0,27.0,264.0,0.10227272727272728,0.09598982901177869,2227.0,276.0
156,2020-03-19,11.0,8495.0,19.0,309.0,0.061488673139158574,0.10619710141417306,2667.0,345.0
167,2020-03-20,11.0,14181.0,48.0,751.0,0.06391478029294274,0.12421644282683067,3430.0,494.0
178,2020-03-21,11.0,13245.0,169.0,704.0,0.24005681818181818,0.1444250899011494,4169.0,662.0
189,2020-03-22,11.0,11260.0,73.0,492.0,0.1483739837398374,0.16902623060021296,4579.0,820.0
200,2020-03-23,11.0,14591.0,150.0,778.0,0.1928020565552699,0.19713533832097113,5815.0,1200.0
211,2020-03-24,11.0,15912.0,176.0,871.0,0.2020665901262916,0.22694102769168495,6117.0,1439.0
222,2020-03-25,11.0,13894.0,185.0,674.0,0.2744807121661721,0.23246214114643432,6432.0,1554.0
233,2020-03-26,11.0,15730.0,399.0,1545.0,0.258252427184466,0.2537481567970948,6626.0,1685.0
244,2020-03-27,11.0,15482.0,287.0,1053.0,0.2725546058879392,0.2717780320104637,7547.0,2077.0
255,2020-03-28,11.0,17008.0,284.0,1019.0,0.2787046123650638,0.2851522726366797,7951.0,2278.0
266,2020-03-29,11.0,14644.0,204.0,686.0,0.29737609329446063,0.29790017640760713,8418.0,2508.0
277,2020-03-30,11.0,14834.0,542.0,1699.0,0.3190111830488523,0.31072952719716174,8186.0,2566.0
288,2020-03-31,11.0,14523.0,377.0,1275.0,0.29568627450980395,0.31110000192661086,8823.0,2744.0
299,2020-04-01,11.0,16253.0,415.0,1141.0,0.3637160385626643,0.31238781419526085,9514.0,2952.0
310,2020-04-02,11.0,18847.0,457.0,1313.0,0.3480578827113481,0.3179448544546703,9961.0,3129.0
321,2020-04-03,11.0,17684.0,465.0,1690.0,0.27514792899408286,0.31895191488492086,9912.0,3125.0
332,2020-04-04,11.0,18227.0,492.0,1710.0,0.28771929824561404,0.31904430466541184,10655.0,3346.0
343,2020-04-05,11.0,16653.0,381.0,1133.0,0.33627537511032657,0.3159710091988926,11130.0,3484.0
354,2020-04-06,11.0,17298.0,538.0,1650.0,0.32606060606060605,0.3094288035885449,12027.0,3695.0
365,2020-04-07,11.0,18573.0,598.0,2018.0,0.29633300297324083,0.3130297779757295,12874.0,3992.0
376,2020-04-08,11.0,19561.0,553.0,1616.0,0.34220297029702973,0.3118166468762084,14115.0,4324.0
387,2020-04-09,11.0,20544.0,668.0,2210.0,0.302262443438914,0.30604934754580676,15155.0,4586.0
398,2020-04-10,11.0,19039.0,762.0,2537.0,0.30035474970437526,0.3006416866146801,15167.0,4527.0
409,2020-04-11,11.0,21673.0,824.0,2951.0,0.27922738054896645,0.3004246832909138,14923.0,4452.0
420,2020-04-12,11.0,18694.0,643.0,2173.0,0.29590427979751494,0.2935742268744597,15533.0,4554.0
431,2020-04-13,11.0,19274.0,479.0,1662.0,0.2882069795427196,0.29230587037450956,15167.0,4427.0
442,2020-04-14,11.0,21227.0,523.0,1774.0,0.2948139797068771,0.2848740322448323,16077.0,4521.0
453,2020-04-15,11.0,21750.0,655.0,2226.0,0.2942497753818509,0.28184083066032567,15909.0,4415.0
464,2020-04-16,11.0,21249.0,541.0,1844.0,0.2933839479392625,0.28507079173327515,15378.0,4295.0
475,2020-04-17,11.0,24983.0,856.0,3447.0,0.24833188279663476,0.28219657936850717,15499.0,4294.0
486,2020-04-18,11.0,22126.0,718.0,2783.0,0.25799496945742006,0.2779546753865649,16916.0,4617.0
497,2020-04-19,11.0,19657.0,523.0,1642.0,0.31851400730816076,0.2796751642643538,17439.0,4804.0
508,2020-04-20,11.0,22566.0,478.0,1783.0,0.2680874929893438,0.2806505169145286,19379.0,5399.0
519,2020-04-21,11.0,22359.0,846.0,3191.0,0.2651206518332811,0.28124956973290255,19991.0,5568.0
530,2020-04-22,11.0,23030.0,842.0,2749.0,0.30629319752637324,0.2817500067974611,21774.0,6044.0
541,2020-04-23,11.0,23487.0,1136.0,3784.0,0.30021141649048627,0.2744618678107166,23504.0,6423.0
552,2020-04-24,11.0,27392.0,1025.0,4059.0,0.25252525252525254,0.2819230022010056,24384.0,6798.0
563,2020-04-25,11.0,25747.0,1194.0,4566.0,0.2614980289093298,0.2770239187489901,25183.0,6873.0
574,2020-04-26,11.0,23832.0,902.0,3372.0,0.267497034400949,0.2650816391845373,27580.0,7177.0
585,2020-04-27,11.0,23492.0,853.0,2663.0,0.3203154337213669,0.26208396085045643,28509.0,7357.0
596,2020-04-28,11.0,24832.0,921.0,3990.0,0.23082706766917294,0.26418448415579904,28600.0,7441.0
607,2020-04-29,11.0,26533.0,1146.0,5146.0,0.22269724057520404,0.2657947277072185,30457.0,7999.0
618,2020-04-30,11.0,26629.0,1316.0,4713.0,0.27922766815192024,0.26210284084988145,30979.0,8038.0
629,2020-05-01,11.0,26661.0,1109.0,4150.0,0.2672289156626506,0.25436453220171723,32295.0,8244.0
640,2020-05-02,11.0,28314.0,1752.0,6423.0,0.2727697337692667,0.2555164346965947,32018.0,8210.0
651,2020-05-03,11.0,24132.0,941.0,3894.0,0.2416538263995891,0.25821673167707077,31574.0,8200.0
662,2020-05-04,11.0,25453.0,1059.0,3979.0,0.26614727318421716,0.25197938583026475,32265.0,8157.0
673,2020-05-05,11.0,26095.0,887.0,3713.0,0.23889038513331537,0.2454265726357391,32750.0,8074.0
684,2020-05-06,11.0,26864.0,1136.0,4702.0,0.2415993194385368,0.23548300149742582,29866.0,7041.0
695,2020-05-07,11.0,26113.0,1273.0,5404.0,0.23556624722427832,0.22615007187279618,28768.0,6593.0
706,2020-05-08,11.0,24590.0,1026.0,4635.0,0.22135922330097088,0.2185082939375746,31490.0,6959.0
717,2020-05-09,11.0,25022.0,719.0,3539.0,0.20316473580107375,0.21151272899090637,31468.0,6773.0
728,2020-05-10,11.0,24499.0,493.0,2796.0,0.17632331902718168,0.20584772931352432,31292.0,6551.0
739,2020-05-11,11.0,27031.0,1425.0,6701.0,0.21265482763766602,0.2028448317279932,33024.0,6809.0
750,2020-05-12,11.0,25192.0,701.0,3691.0,0.18992143050663776,0.20011748562313308,34386.0,6996.0
761,2020-05-13,11.0,25979.0,914.0,4526.0,0.20194432169686258,0.19928520137344038,35281.0,7152.0
772,2020-05-14,11.0,29695.0,1531.0,7136.0,0.21454596412556054,0.1998376219425048,37846.0,7625.0
783,2020-05-15,11.0,27095.0,1213.0,5997.0,0.20226780056695015,0.19244468303985945,35657.0,6926.0
794,2020-05-16,11.0,27865.0,875.0,4434.0,0.19733874605322507,0.18842642322371292,40106.0,7542.0
805,2020-05-17,11.0,26115.0,966.0,5361.0,0.18019026301063235,0.1780115916713695,43407.0,7638.0
816,2020-05-18,11.0,25672.0,726.0,4512.0,0.16090425531914893,0.1689834464426407,43017.0,7128.0
827,2020-05-19,11.0,26228.0,1317.0,8140.0,0.1617936117936118,0.15779076128014,46502.0,7090.0
838,2020-05-20,11.0,29827.0,1010.0,7827.0,0.12904050083045868,0.15293793812356776,49548.0,7437.0
849,2020-05-21,11.0,31388.0,1021.0,6746.0,0.15134894752445893,0.15001767593247115,50547.0,7487.0
860,2020-05-22,11.0,29952.0,1175.0,9482.0,0.12391900442944527,0.14804273772537455,50264.0,7383.0
871,2020-05-23,11.0,27961.0,1222.0,7480.0,0.16336898395721924,0.14863611349860645,46294.0,6758.0
882,2020-05-24,11.0,27762.0,1016.0,6360.0,0.15974842767295597,0.14924251375049233,44019.0,6488.0
893,2020-05-25,11.0,23966.0,622.0,4229.0,0.14707968786947268,0.14874217587370855,41940.0,6157.0
904,2020-05-26,11.0,25878.0,692.0,4170.0,0.16594724220623502,0.1465863538696855,38688.0,5660.0
915,2020-05-27,11.0,28820.0,740.0,5552.0,0.13328530259365995,0.14023797484051,36892.0,5114.0
926,2020-05-28,11.0,26033.0,690.0,4667.0,0.14784658238697235,0.13197104620560537,35479.0,4602.0
937,2020-05-29,11.0,28608.0,678.0,6230.0,0.1088282504012841,0.1263860609206128,35195.0,4406.0
948,2020-05-30,11.0,26646.0,676.0,5684.0,0.11893033075299085,0.12112005110566168,38950.0,4737.0
959,2020-05-31,11.0,25532.0,504.0,4947.0,0.10187992722862341,0.11390267528871026,37494.0,4336.0
970,2020-06-01,11.0,25326.0,426.0,3945.0,0.10798479087452471,0.10735245101468963,36837.0,4055.0
981,2020-06-02,11.0,32934.0,1023.0,7925.0,0.12908517350157728,0.10985840661605266,35078.0,3942.0
